ID,Name,Base Damage,Max Damage,RPS,Magazine,Ideal Range,Max Ammo,Crit Chance,Url,Worlds
1,Hunting Rifle,55,165,1.9,10,25,50,10,https://remnantfromtheashes.wiki.fextralife.com/Hunting+Rifle,Ward 13
2,Coach Gun,102,306,2.5,2,9,30,5,https://remnantfromtheashes.wiki.fextralife.com/Coach+Gun,Ward 13
3,Shotgun,130,360,0.6,7,7,25,5,https://remnantfromtheashes.wiki.fextralife.com/Shotgun,Ward 13
4,Assault Rifle,15,45,7.3,28,18,196,5,https://remnantfromtheashes.wiki.fextralife.com/Assault+Rifle,Earth
5,Beam Rifle,20,42,5,50,15,200,5,https://remnantfromtheashes.wiki.fextralife.com/Beam+Rifle,Rhom
6,Devastator,35,105,1.5,1,20,30,10,https://remnantfromtheashes.wiki.fextralife.com/Devastator,Corsus
7,Sniper Rifle,110,330,1.7,1,35,27,20,https://remnantfromtheashes.wiki.fextralife.com/Sniper+Rifle,Earth
8,Sporebloom,200,600,2,1,10,21,5,https://remnantfromtheashes.wiki.fextralife.com/Sporebloom,Earth
9,Crossbow,115,345,2,1,18,25,20,https://remnantfromtheashes.wiki.fextralife.com/Crossbow,Corsus
10,Ruin,19,57,6,30,22,150,10,https://remnantfromtheashes.wiki.fextralife.com/Ruin,Rhom
11,Eye of the Storm,65,195,1.7,15,25,45,10,https://remnantfromtheashes.wiki.fextralife.com/Eye+of+the+Storm,Yaesha
12,Particle Accelerator,70,225,1.4,5,30,35,10,https://remnantfromtheashes.wiki.fextralife.com/Particle+Accelerator,Rhom
13,Repulsor,100,300,1.8,5,8,30,5,https://remnantfromtheashes.wiki.fextralife.com/Repulsor,Ward 17
14,Chicago Typewriter,11,33,8.8,80,15,320,5,https://remnantfromtheashes.wiki.fextralife.com/Chicago+Typewriter,Earth
15,Ricochet Rifle,80,300,2,1,20,22,5,https://remnantfromtheashes.wiki.fextralife.com/Ricochet+Rifle,Yaesha
