ID,Name,Description,Location,Url,Worlds
1,Band of Strength,Increases Melee Damage by 5% for 10 seconds after a Charge Melee Attack (100% Chance). Stacks up to 4 times.,Can be found at a random location at Rhom,https://remnantfromtheashes.wiki.fextralife.com/Band+of+Strength,Rhom
2,Blood Font,Regenerates 0.405 Health per second. (Affected by Triage Trait).,Can be found in Corsus,https://remnantfromtheashes.wiki.fextralife.com/Blood+Font,Corsus
3,Braided Thorns,Increases Crit Chance by 15% for 10 seconds after slaying an enemy.,Dropped by Root Worshiper found on Earth - Marrow Pass,https://remnantfromtheashes.wiki.fextralife.com/Braided+Thorns,Earth
4,Celerity Stone,Increases Consumable Use Speed by 40%.,Can be found dropped at a random location at Yaesha,https://remnantfromtheashes.wiki.fextralife.com/Celerity+Stone,Yaesha
5,Devouring Loop,Critical Hits have a 6% chance to deal 300% bonus damage.,Can be found at a random location at Corsus,https://remnantfromtheashes.wiki.fextralife.com/Devouring+Loop,Corsus
6,Ezlan's Band,Increases Max Health by 25.,"Can be found dropped inside a building at The Iron Rift at Rhom

Can be found dropped at The Burrows at The Labyrinth",https://remnantfromtheashes.wiki.fextralife.com/Ezlan's+Band,"Rhom,Labyrinth"
7,Gravity Stone,Increases damage by 20% when there are at least 2 enemies within 10 meters of the wearer,Can be found at a random location at Rhom,https://remnantfromtheashes.wiki.fextralife.com/Gravity+Stone,Rhom
8,Heartseeker,Provides 100% Crit Chance against non-aggressive enemies and increases Crit Damage by 15%.,Can be found at a random location at Earth,https://remnantfromtheashes.wiki.fextralife.com/Heartseeker,Earth
9,Hunter's Band,Increases Weak Spot damage by 30% when hitting a target's weak spot from farther than 15 meters.,Found at a random location at Yaesha,https://remnantfromtheashes.wiki.fextralife.com/Hunter's+Band,Yaesha
10,Hunter's Halo,Increase the effective Range of all firearms by 4m,Can be found at a random location at Rhom,https://remnantfromtheashes.wiki.fextralife.com/Hunter's+Halo,Rhom
11,Jewel of the Black Sun,Increases Ranged damage by 6% for 15 seconds after a ranged kill stacks up to 3 times.,Can be purchased from Wud for 400 Scrap,https://remnantfromtheashes.wiki.fextralife.com/Jewel+of+the+Black+Sun,Rhom
12,Keeper's Ring,Increases resistance to all elemental damage by 20.,Can be found at a random location at Yaesha,https://remnantfromtheashes.wiki.fextralife.com/Keeper's+Ring,Yaesha
13,Leech Ember,Melee hits steal health from enemies.,Can be found at a random location at Rhom,https://remnantfromtheashes.wiki.fextralife.com/Leech+Ember,Rhom
14,Mother's Ring,Reduces incoming Ranged Damage by 20%.,Can be found at a random location at Earth,https://remnantfromtheashes.wiki.fextralife.com/Mother's+Ring,Earth
15,Pillar of Stone,Reduces Sway by 50% and Recoil by 25%.,Can be found at a random location at Earth,https://remnantfromtheashes.wiki.fextralife.com/Pillar+of+Stone,Earth
16,Razorstone,"Melee Charge Melee Attacks (100% Chance) will apply a BLEEDING effect, dealing 100% of the damage dealt over 15 seconds.",Can be found at a random location at Corsus,https://remnantfromtheashes.wiki.fextralife.com/Razorstone,Corsus
17,Ring of Evasion,Moderately increases evade window and increase evade speed by 10%.,Found as a random drop on Earth,https://remnantfromtheashes.wiki.fextralife.com/Ring+of+Evasion,Earth
18,Root Circlet,Increases Melee Attack Speed by 15%.,Given by Root Worshiper found on Earth - Marrow Pass so long as he is not made hostile by the players.,https://remnantfromtheashes.wiki.fextralife.com/Root+Circlet,Earth
19,Sagestone,Increases earned Experience by 30%.,Can be found at a random location at Earth,https://remnantfromtheashes.wiki.fextralife.com/Sagestone,Earth
20,Stone Of Balance,Increases Ranged and Melee damage by 15%.,Found as a random spawn on Yaesha,https://remnantfromtheashes.wiki.fextralife.com/Stone+Of+Balance,Yaesha
21,Heart of the Wolf,Increases Stamina by 25 and Movement speed by 10%.,Found at the Pan Flautist upon completion of the bell puzzle on Yaesha. May spawn in other locations.,https://remnantfromtheashes.wiki.fextralife.com/Heart+of+the+Wolf,Yaesha
22,Guardian's Ring,Reduce incoming melee damage by 20%.,"Bought from the Stuck Merchant

Can also be found at Scalding Glade",https://remnantfromtheashes.wiki.fextralife.com/Guardian's+Ring,Yaesha
23,Ring of the Admiral,"Damage received is increased by 300%. Ranged, Melee, Mods and Minions damage dealt is increased by 15%.",Bought from Reggie in Ward 13 for only 2 Scrap.,https://remnantfromtheashes.wiki.fextralife.com/Ring+of+the+Admiral,Ward 13
24,Akari War Band,Perfect Dodging enemy attacks increases Crit Chance by 15% and Crit damage by 15% for 10 seconds.,Defeat either The Harrow or Claviger on Hardcore Mode.,https://remnantfromtheashes.wiki.fextralife.com/Akari+War+Band,Rhom
25,Empowering Loop,"Increases Ranged damage by 25%, but decrease Fire rate by 15%",Defeat Ixillis on Hardcore Mode.,https://remnantfromtheashes.wiki.fextralife.com/Empowering+Loop,Corsus
26,Band of Accord,Ammo acquired on pickup is increased by 25% and is shared with other players.,High Five Emote another player,https://remnantfromtheashes.wiki.fextralife.com/Band+of+Accord,Any
27,Ring of Supremacy,Increases all damage dealt by 20% after the wearer's health has been full for at least 5 seconds.,Hardcore Mode: Drop from Totem Father or The Ravager.,https://remnantfromtheashes.wiki.fextralife.com/Ring+of+Supremacy,Yaesha
28,Provisioner Ring,Firearms reload overtime while stowed.,Hardcore Mode: Drop from Singe or The Ent.,https://remnantfromtheashes.wiki.fextralife.com/Provisioner+Ring,Earth
29,Grim Coil,Realoading a weapon after dealing 60% of the base damage from a single magazine increases its damage by 4% for 15 Seconds. Stacks 5 times.,Can be puarchased from Iskal Renegade at Corsus,https://remnantfromtheashes.wiki.fextralife.com/Grim+Coil,Corsus
30,Soul Ember,Summon Health is reduced by 60%. On death they'll explode dealing 150 plus weapon level damage within 3 meters. Summons that explode normally will deal 25% bonus damage.,Can be obtained at Corsus. Destroy all the hanging pods in the Circlet Hatchery to obtain the ring.,https://remnantfromtheashes.wiki.fextralife.com/Soul+Ember,Corsus
31,Deceiver's Band,Increases Evade Speed by 25% and Movement Speed by 15% for 10 seconds after performing a slide.,Can be found as a random drop on Rhom.,https://remnantfromtheashes.wiki.fextralife.com/Deceiver's+Band,Rhom
32,Ring of the Unclean,Unarmed Melee attacks deal 2x damage,Can be acquired by helping the Elf Queen infect the Iskal Renegade.,https://remnantfromtheashes.wiki.fextralife.com/Ring+of+the+Unclean,Corsus
33,Compulsion Loop,"Increase Movement Speed by 20%, Fire Rate by 15%, and Melee Speed by 10% for 5 seconds after slaying an enemy.",Can be found as a random drop on Rhom.,https://remnantfromtheashes.wiki.fextralife.com/Compulsion+Loop,Rhom
